Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Shipping Included,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Changed,1yr. Avg.,% Down,Trend,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Condition,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Seller ID,Seller,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.,Seller Rank,Seller_Quality_Score,Best Price,Recent Inferred Sale Price,Seasonality Type,Detailed_Seasonality,Sells,Peak Season,Expected Peak Price,Trough Season,Expected Trough Price,Profit Confidence,Min. Listing Price,All-in Cost,Profit,Margin,Total AMZ fees
71%,-,48%,-,-,no,2025-10-01T17:06:00-04:00,https://www.amazon.com/dp/098363775X?psc=1&aod=1,https://keepa.com/#!product/1-098363775X,Coquito Classico: Lectura inicial (Spanish Edition),2025-10-04 14:22:00,2025-10-01 17:06:00,-,$19.51,0%,⇧,-,-,-,$3.43,14.99%,2016-09-20,Books,"Children's Books, Education & Reference, Language Study, Spanish",Books > Subjects > Children's Books > Education & Reference > Language Study > Spanish,098363775X,-,-,Ediciones Coquito USA Llc,-,-,-,-,"Santillana, Everardo Zapata",-,paperback,very good,-,-,2016-01-01,-,-,0.27 kg,1.0 cm,26.9 cm,20.1 cm,2016-01-26,-,-,-,"879,218","3,237,187",-,"3,179,081","2,552,542","1,942,699",-,-,-,-,1,-,-,-,13,A318PB6Z1EAECP,JAPAN SELECT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.69,-,-,-,-,-,-,-,-,-,-,-,-,$8.53,-,-,-,-,-,-,-,-,-,-,$61.41,-,-,-,-,-,-,-,-,-,-,-,$47.75,-,-,-,-,-,-,$29.32,-,-,-,-,$55.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$34.31,-,-,-,-,$78.59,-,-,-,-,-,-,$34.11,-,-,-,-,$34.18,-,-,-,-,-,-,-,-,-,-,-,$81.12,-,-,-,-,-,-,$11.95,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,3,-,-,-,-,5,6629,0.96/10,$34.11,$29.32,Seasonal,None,All Year,May,$55.20,Aug,$6.46,62%,59.68597800000001,54.259980000000006,0.940019999999997,1.70293478260869,11.70448
71%,-,55%,-,-,no,2025-09-27T00:50:00-04:00,https://www.amazon.com/dp/1401263674?psc=1&aod=1,https://keepa.com/#!product/1-1401263674,Batman: New Gotham Vol. 1,2025-10-04 14:22:00,2025-10-03 12:12:00,-,$38.40,25%,⇩,-,-,-,$5.37,15.00%,2015-11-22,Books,"Comics & Graphic Novels, Graphic Novels, Superheroes",Books > Subjects > Comics & Graphic Novels > Graphic Novels > Superheroes,1401263674,-,-,DC Comics,DC Comics,-,-,-,"Rucka, Greg",-,paperback,very good,-,-,2017-05-30,-,-,0.58 kg,1.5 cm,25.6 cm,16.9 cm,2015-11-22,-,-,-,"529,944","1,793,219",-,"2,052,992","1,771,513","1,522,670",-,-,-,-,3,-,-,-,20,AIVQ2DJS229X7,HPB Inc.,-,-,-,-,-,70.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$69.95,-,-,-,-,65.81,-,-,-,-,-,-,-,-,-,-,-,53.99,$14.00,-,-,-,-,-,$73.94,-,-,-,-,$71.87,-,-,-,-,-,-,$25.79,-,-,-,-,$67.79,-,-,-,-,-,-,$24.00,-,-,-,-,$53.64,-,-,-,-,-,-,-,-,-,-,-,$53.96,-,-,-,-,-,-,$25.79,-,-,-,-,$44.69,-,-,-,-,-,-,$36.81,-,-,-,-,$58.89,-,-,-,-,-,-,-,-,-,-,-,$44.99,-,-,-,-,-,-,$29.99,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,-,-,-,-,3,67525,0.96/10,$28.99,$24.00,Seasonal,None,All Year,Jul,$47.93,Sep,$21.52,69%,54.712900000000005,49.739,-1.8089999999999975,-3.7742541205925253,12.5595
71%,-,72%,-,-,no,2025-10-04T12:28:00-04:00,https://www.amazon.com/dp/0195366816?psc=1&aod=1,https://keepa.com/#!product/1-0195366816,Common Law Marriage: A Legal Institution for Cohabitation,2025-10-04 14:22:00,2025-10-04 12:40:00,-,Too New,Too New,⇧,-,-,-,$7.32,15.00%,2011-03-26,Books,"Law, Family Law, Domestic Relations",Books > Subjects > Law > Family Law > Domestic Relations,0195366816,-,-,Oxford University Press,"Oxford University Press, USA",-,-,-,"Lind, Goran",-,hardcover,good,-,-,2008-09-02,-,-,1.84 kg,6.2 cm,24.0 cm,15.8 cm,-,-,-,-,"711,264","9,030,944",-,"8,675,272","8,208,364","7,685,316",-,-,-,-,1,-,-,-,2,A21I6SH8GPCODY,books_from_california,$170.00,-,-,-,-,162.42,-,-,-,-,-,-,$170.00,-,-,-,-,$162.26,-,-,-,-,-,-,$170.00,-,-,-,-,164.60,-,-,-,-,-,-,-,-,-,-,-,169.99,$160.00,-,-,-,-,-,$170.00,-,-,-,-,$196.07,-,-,-,-,-,-,$25.18,-,-,-,-,$83.43,-,-,-,-,-,-,$21.19,-,-,-,-,$76.94,-,-,-,-,-,-,$211.15,-,-,-,-,$172.95,-,-,-,-,-,-,$25.43,-,-,-,-,$161.21,-,-,-,-,-,-,$25.18,-,-,-,-,$83.05,-,-,-,-,-,-,-,-,-,-,-,$181.98,-,-,-,-,-,-,$170.00,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,1,5,-,-,-,-,3,246057,0.96/10,$25.18,$24.83,Year-Round,Law School,Oct,-,-,-,-,5%,0.0,0.0,0.0,0.0,0.0
71%,-,57%,-,-,no,2025-09-24T07:40:00-04:00,https://www.amazon.com/dp/0934601348?psc=1&aod=1,https://keepa.com/#!product/1-0934601348,Totalee Awesome: A Complete Guide to Body-Building Success,2025-10-04 14:22:00,2025-09-30 23:44:00,-,$35.25,2%,⇩,-,-,-,$4.99,15.00%,2011-04-10,Books,"Health, Fitness & Dieting, Exercise & Fitness, Weight Training","Books > Subjects > Health, Fitness & Dieting > Exercise & Fitness > Weight Training",0934601348,-,-,Peachtree Pub Ltd,Brand: Peachtree Pub Ltd,-,-,-,"Haney, Lee",-,paperback,good,-,-,2000-01-02,-,-,0.50 kg,1.5 cm,26.9 cm,22.1 cm,2015-06-17,-,-,-,"1,109,671","1,272,976",-,"2,889,783","2,833,510","2,730,590",-,-,-,-,4,-,-,-,12,A3IO9MOV2M18YG,Driftless Books and Music,-,-,-,-,-,1235.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$393.63,-,-,-,-,1106.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$397.78,-,-,-,-,$1108.99,-,-,-,-,-,-,$53.41,-,-,-,-,$77.09,-,-,-,-,-,-,$30.00,-,-,-,-,$70.35,-,-,-,-,-,-,$153.49,-,-,-,-,$153.79,-,-,-,-,-,-,-,-,-,-,-,$75.90,-,-,-,-,-,-,$34.69,-,-,-,-,$73.22,-,-,-,-,-,-,-,-,-,-,-,$224.56,-,-,-,-,-,-,$14.95,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,4,-,-,-,-,6,3935,0.95/10,$34.69,$30.00,Seasonal,New Year/Fitness,Jan,Oct,$55.59,Sep,$33.05,34%,62.1423,56.492999999999995,-0.9029999999999916,-1.6243928764166065,13.3285
71%,-,65%,-,-,no,2025-10-03T02:34:00-04:00,https://www.amazon.com/dp/1608860876?psc=1&aod=1,https://keepa.com/#!product/1-1608860876,Clive Barker's Hellraiser 2,2025-10-04 14:22:00,2025-10-03 02:34:00,-,$402.11,92%,⇩,-,-,-,$3.43,15.00%,2012-01-28,Books,"Comics & Graphic Novels, Graphic Novels, Horror",Books > Subjects > Comics & Graphic Novels > Graphic Novels > Horror,1608860876,-,-,BOOM! Studios,Boom! Studios,-,-,-,"Barker, Clive",-,Paperback,good,-,-,2012-02-07,-,-,0.24 kg,0.8 cm,25.6 cm,16.8 cm,2011-07-17,-,-,-,"680,345","3,064,087",-,"2,170,021","2,222,844","2,037,473",-,-,-,-,1,-,-,-,21,AND2NDFZDXJ0G,goodwill_industries_of_san_diego,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$49.98,-,-,-,-,-,-,-,-,-,-,$457.11,-,-,-,-,-,-,-,-,-,-,-,$428.64,-,-,-,-,-,-,$32.16,-,-,-,-,$91.23,-,-,-,-,-,-,-,-,-,-,-,$465.74,-,-,-,-,-,-,-,-,-,-,-,$44.40,-,-,-,-,-,-,-,-,-,-,-,$257.26,-,-,-,-,-,-,$32.16,-,-,-,-,$168.79,-,-,-,-,-,-,$14.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,5,-,-,-,-,2,54751,0.97/10,$32.16,$32.21,Seasonal,Halloween,Sep - Oct,Jul,$900.03,May,$24.02,48%,196.83675000000002,178.9425,721.0875,80.11816272790907,138.43449999999999
71%,-,54%,-,-,no,2025-10-04T01:08:00-04:00,https://www.amazon.com/dp/1432887467?psc=1&aod=1,https://keepa.com/#!product/1-1432887467,The Hunting Wives,2025-10-04 14:22:00,2025-10-04 01:08:00,-,Too New,Too New,⇧,-,-,-,$5.52,15.00%,2021-06-22,Books,"Literature & Fiction, Women's Fiction",Books > Subjects > Literature & Fiction > Women's Fiction,1432887467,-,-,Thorndike Press Large Print,-,-,-,-,"Cobb, Mary",-,library,very good,-,-,2021-07-06,-,-,0.79 kg,2.5 cm,22.4 cm,15.0 cm,2021-03-19,-,-,-,"659,716","1,728,025",-,"1,728,025","1,728,025","1,728,025",-,-,-,-,1,-,-,-,1,ATVPDKIKX0DER,Amazon.com,$35.99,-,-,-,-,35.98,-,-,-,-,-,-,$35.99,-,-,-,-,$35.98,-,-,-,-,-,-,$35.99,-,-,-,-,86.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$93.22,-,-,-,-,-,-,-,-,-,-,-,$47.79,-,-,-,-,-,-,$40.68,-,-,-,-,$88.68,-,-,-,-,-,-,-,-,-,-,-,$85.98,-,-,-,-,-,-,-,-,-,-,-,$40.00,-,-,-,-,-,-,$40.68,-,-,-,-,$47.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.99,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,2,-,New Seller,$35.99,$39.12,Year-Round,None,All Year,-,-,-,-,13%,0.0,0.0,0.0,0.0,0.0
74%,-,62%,-,-,yes,2025-10-03T21:04:00-04:00,https://www.amazon.com/dp/1860827721?psc=1&aod=1,https://keepa.com/#!product/1-1860827721,"Christian Fasting: Disciplining the body, awakening the spirit",2025-10-04 14:22:00,2025-10-03 21:04:00,-,$62.07,49%,⇩,-,-,-,$2.29,15.01%,2018-03-09,Books,-,Books > Subjects,1860827721,-,-,Catholic Truth Society,-,-,-,-,Sr. Mary David Totah,-,Paperback,New,-,-,2012-01-01,-,-,0.04 kg,0.8 cm,14.4 cm,10.2 cm,2012-01-23,-,-,-,"1,041,205","3,097,729",-,"3,433,112","3,850,596","3,922,947",-,-,-,-,2,-,-,-,7,A34MOU1WOG7LRW,Zoom Books Company,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$31.56,-,-,-,-,$174.40,-,-,-,-,-,-,$27.56,-,-,-,-,$72.21,-,-,-,-,-,-,-,-,-,-,-,$29.85,-,-,-,-,-,-,$31.57,-,-,-,-,$91.14,-,-,-,-,-,-,$31.56,-,-,-,-,$187.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,3,-,-,-,-,3,12572,0.96/10,$31.56,$31.56,Seasonal,None,All Year,May,$179.93,Dec,$14.73,36%,71.70404230000001,65.18549300000001,114.744507,63.77174845773356,29.297493000000003
71%,-,70%,-,-,no,2025-09-28T23:32:00-04:00,https://www.amazon.com/dp/0065009827?psc=1&aod=1,https://keepa.com/#!product/1-0065009827,Lifespan Development/Instructor's Ed.,2025-10-04 14:22:00,2025-09-28 23:32:00,-,Too New,Too New,⇩,-,-,-,$6.62,15.00%,2017-03-12,Books,"Health, Fitness & Dieting, Psychology & Counseling","Books > Subjects > Health, Fitness & Dieting > Psychology & Counseling",0065009827,-,-,Harpercollins College Div,-,-,-,-,"Bee, Helen L.",-,hardcover,very good,-,-,-,-,-,1.29 kg,3.0 cm,25.7 cm,20.1 cm,-,-,-,-,"1,462,204","915,666",-,"915,666","6,795,064","6,946,546",-,-,-,-,0,-,-,-,1,AINLAEBP9YFV7,Jazemmali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$249.99,-,-,-,-,-,-,-,-,-,-,-,$198.94,-,-,-,-,-,-,$38.95,-,-,-,-,$129.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$44.87,-,-,-,-,$185.84,-,-,-,-,-,-,-,-,-,-,-,$115.30,-,-,-,-,-,-,-,-,-,-,-,$82.11,-,-,-,-,-,-,$25.01,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,-,-,-,-,4,274,0.89/10,$44.87,$52.79,Year-Round,None,All Year,Nov,$249.51,Sep,$37.12,30%,107.69,97.89999999999999,151.61,60.763095667508324,44.046499999999995
69%,-,39%,-,-,no,2025-09-20T10:56:00-04:00,https://www.amazon.com/dp/067022460X?psc=1&aod=1,https://keepa.com/#!product/1-067022460X,The City Park: A Reproduction of an Antique Stand-up Book,2025-10-04 14:22:00,2025-10-01 17:04:00,-,$38.41,38%,⇧,-,-,-,$4.99,15.00%,2015-06-01,Books,-,Books > Subjects,067022460X,-,-,Viking Juvenile,-,-,-,-,"Meggendorfer, Lothar",-,hardcover,acceptable,-,-,1981-11-16,-,-,0.50 kg,1.8 cm,26.2 cm,23.0 cm,-,-,-,-,"1,427,025","3,113,036",-,"2,968,193","3,556,271","3,712,817",-,-,-,-,1,-,-,-,4,A1UEU9AQT0O9WX,No Seller Info,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202.49,-,-,-,-,-,-,-,-,-,-,-,-,$34.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$51.52,-,-,-,-,-,-,$20.00,-,-,-,-,$32.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$70.22,-,-,-,-,-,-,$24.99,-,-,-,-,$35.07,-,-,-,-,-,-,-,-,-,-,-,$19.95,-,-,-,-,-,-,$10.95,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,6,-,-,-,-,1,N/A,N/A,$23.99,$82.38,Seasonal,None,All Year,Aug,$107.95,Nov,$15.99,24%,58.42320000000001,53.112,54.838,50.79944418712367,21.182499999999997
70%,-,62%,-,-,yes,2025-10-03T20:32:00-04:00,https://www.amazon.com/dp/9041115684?psc=1&aod=1,https://keepa.com/#!product/1-9041115684,Comparative International Commercial Arbitration,2025-10-04 14:22:00,2025-10-03 20:32:00,-,$82.17,43%,⇩,-,-,-,$7.16,15.00%,2011-04-10,Books,"Law, Business, Commercial",Books > Subjects > Law > Business > Commercial,9041115684,-,-,Springer,Springer,-,-,-,"Lew, Julian D. M.",-,hardcover,good,-,-,2001-05-01,-,-,1.70 kg,6.1 cm,24.6 cm,17.1 cm,-,-,-,-,"691,892","4,098,736",-,"2,955,578","3,324,095","3,216,965",-,-,-,-,1,-,-,-,7,AFJSFHKSHU1G7,ThriftBooks-Baltimore,$379.00,-,-,-,-,379.00,-,-,-,-,-,-,$379.00,-,-,-,-,$379.00,-,-,-,-,-,-,$374.90,-,-,-,-,377.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$378.89,-,-,-,-,$426.55,-,-,-,-,-,-,$46.71,-,-,-,-,$123.19,-,-,-,-,-,-,$40.20,-,-,-,-,$104.85,-,-,-,-,-,-,$413.54,-,-,-,-,$404.08,-,-,-,-,-,-,$378.85,-,-,-,-,$231.70,-,-,-,-,-,-,$46.71,-,-,-,-,$112.65,-,-,-,-,-,-,$46.72,-,-,-,-,$233.32,-,-,-,-,-,-,$379.00,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,4,5,-,-,-,-,7,346046,0.96/10,$46.71,$176.77,Seasonal,Law School,Oct,Jan,$204.74,Apr,$67.44,41%,98.63315,89.6665,115.07350000000001,56.204698642180325,37.870999999999995
70%,-,84%,-,-,yes,2025-10-04T04:50:00-04:00,https://www.amazon.com/dp/9657489164?psc=1&aod=1,https://keepa.com/#!product/1-9657489164,"The Big Book of NLP, Expanded: 350+ Techniques, Patterns & Strategies of Neuro Linguistic Programming",2025-10-04 14:22:00,2025-10-04 04:50:00,-,$255.09,86%,⇧,-,-,-,$5.87,15.00%,2018-11-28,Books,"Self-Help, Neuro-Linguistic Programming",Books > Subjects > Self-Help > Neuro-Linguistic Programming,9657489164,-,-,Inner Patch Publishing,-,-,-,-,"Vaknin, Shlomo",-,Paperback,good,-,-,2018-11-27,-,-,0.94 kg,2.8 cm,25.1 cm,20.1 cm,2018-11-27,-,-,-,"1,084,268","5,486,177",-,"5,683,927","5,077,308","4,201,521",-,-,-,-,1,-,-,-,4,A1QJ4UH6FW3UH1,ThriftBooks-Atlanta,-,-,-,-,-,499.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$499.99,-,-,-,-,-,-,$36.00,-,-,-,-,$277.61,-,-,-,-,-,-,$36.00,-,-,-,-,$224.65,-,-,-,-,-,-,-,-,-,-,-,$54.99,-,-,-,-,-,-,-,-,-,-,-,$37.37,-,-,-,-,-,-,$36.00,-,-,-,-,$297.53,-,-,-,-,-,-,-,-,-,-,-,$100.00,-,-,-,-,-,-,$18.00,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,2,-,-,-,-,2,637324,0.96/10,$36.00,$15.61,Year-Round,None,All Year,Nov,$500.00,Oct,$15.61,43%,133.562,121.42,378.58,75.716,80.87
69%,-,64%,-,-,no,2025-09-26T09:04:00-04:00,https://www.amazon.com/dp/0340396938?psc=1&aod=1,https://keepa.com/#!product/1-0340396938,"Bernard Freyberg, Vc: Soldier of Two Nations",2025-10-04 14:22:00,2025-10-02 23:30:00,-,$58.22,19%,⇩,-,-,-,$6.21,15.00%,2016-11-27,Books,Biographies & Memoirs,Books > Subjects > Biographies & Memoirs,0340396938,-,-,Hodder & Stoughton,Hodder & Stoughton,-,-,-,"Freyberg, Paul",-,hardcover,very good,-,-,2000-01-02,-,-,1.20 kg,5.6 cm,24.0 cm,16.0 cm,-,-,-,-,"1,445,079","5,680,763",-,"5,698,865","5,396,083","5,877,910",-,-,-,-,1,-,-,-,2,A1I1ZN1NPA23U6,MGoddingBooksLtd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$52.59,-,-,-,-,$112.22,-,-,-,-,-,-,$32.00,-,-,-,-,$89.65,-,-,-,-,-,-,-,-,-,-,-,$100.00,-,-,-,-,-,-,$48.93,-,-,-,-,$100.92,-,-,-,-,-,-,$46.94,-,-,-,-,$92.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$65.00,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,5,-,-,-,-,5,1525,0.97/10,$46.94,$63.95,Seasonal,None,All Year,Aug,$66.97,Jan,$52.59,15%,79.51074999999999,72.28249999999998,-5.312499999999986,-7.932656413319375,16.255499999999998
70%,-,63%,-,-,no,2025-10-03T22:42:00-04:00,https://www.amazon.com/dp/0930289099?psc=1&aod=1,https://keepa.com/#!product/1-0930289099,Demon with a glass hand (Science fiction graphic novel),2025-10-04 14:40:00,2025-10-03 22:42:00,-,$38.81,24%,⇩,-,-,-,$3.15,15.00%,2015-09-20,Books,"Comics & Graphic Novels, Publishers, DC",Books > Subjects > Comics & Graphic Novels > Publishers > DC,0930289099,-,-,DC Comics,-,-,-,-,Marshall Rogers,-,Paperback,good,-,-,2000-01-02,-,-,0.11 kg,0.5 cm,27.2 cm,21.1 cm,-,-,-,-,"243,318","3,777,019",-,"3,118,616","2,949,671","2,679,717",-,-,-,-,1,-,-,-,7,A16WQTHQGLFS37,ziesingbooks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$90.63,-,-,-,-,129.97,-,-,-,-,-,-,-,-,-,-,-,-,$49.95,-,-,-,-,-,$94.62,-,-,-,-,$148.53,-,-,-,-,-,-,$29.99,-,-,-,-,$87.12,-,-,-,-,-,-,$25.00,-,-,-,-,$68.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.99,-,-,-,-,$79.54,-,-,-,-,-,-,$41.78,-,-,-,-,$81.96,-,-,-,-,-,-,-,-,-,-,-,$66.08,-,-,-,-,-,-,$49.95,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,2,-,-,-,-,4,1959,0.98/10,$29.62,$25.00,Seasonal,None,All Year,Jun,$58.71,Dec,$20.59,36%,54.77725,49.7975,8.912500000000001,15.180548458524957,11.9565
